Lon,Lat,BD,AK,AL,AN,AP,aspect,BD,CA,CEC,CL,CW1,Dc,DEM,Dh,GRAV,H,K,LDEP,LNUM,MG,N,NDVI,PDEP,PET,PH,POR,PRE,S1,SA,SI,slope,SOM,SW1,TK,TMP,TN,TP,Unc,Unh,Wc,Wh
103.567,31.118,1.34346,177.5800018,1.406999946,156,6.830999851,265.367157,1.327999949,2.496999979,21.20999908,26.04000092,0.666999996,3,1695,2,5.202000141,0.234300002,0.436300009,0.436300009,0.436300009,1.014999986,0.436300009,0.960799992,0.436300009,97.28333282,5.480999947,54.06000137,959.6499023,8,31.17000008,42.77999878,15.74862099,5.696000099,0.656000018,1.562000036,13.4379549,0.300799996,0.089400001,4,1.75,2,1.75
102.995,30.078,1.12348,195.4700012,1.922000051,104.6100006,5.691999912,20.18709183,1.149999976,2.822000027,17.45000076,22.92000008,0.800000012,3,989,1.5,4.650000095,0.171499997,0.233700007,0.233700007,0.233700007,0.916800022,0.233700007,0.851899981,0.233700007,98.66666412,5.830999851,43.31999969,1536.365601,8,37.72999954,39.34999847,5.095155239,3.010999918,0.400000006,1.258000016,16.42082596,0.111900002,0.059160002,6,1.25,3,1.5
103.549,29.758,1.13549,116.7390442,0.788213015,72.06855774,5.282944679,130.9512177,1.282402873,2.028976202,12.68349552,17.47057533,0.869685709,3,464,1.848428726,4.05767107,0.191499814,0.1941185,0.1941185,0.1941185,1.28836441,0.1941185,0.839299977,0.1941185,88.05833435,7.497882366,51.78681946,1800.0625,9.393714905,41.43031311,41.09911346,3.077320099,1.473802209,0.400000006,1.875415683,18.26141357,0.08977478,0.068483956,4.606285095,1.772643089,2.651571274,1.848428726
103.548,29.368,1.50458,233.3800049,4.528999805,100,6.652999878,84.96463776,1.128000021,0.28670001,8.338999748,18.78000069,0.800000012,2,539,2,4.979000092,0.440499991,0.190500006,0.190500006,0.190500006,0.263099998,0.190500006,0.662800014,0.190500006,88.20833588,4.701000214,51.72999954,1736.889526,8,42.56999969,38.65000153,9.522741318,4.486000061,0.400000006,1.889999986,17.72445869,0.204799995,0.029999999,4,2,2,2.140000105
103.602,28.49,1.25604,161.3300018,1.922000051,101,4.443999767,358.0553589,1.238000035,2.822000027,17.45000076,22.92000008,0.800000012,3,1067,1.5,4.650000095,0.171499997,0.233700007,0.233700007,0.233700007,0.916800022,0.233700007,0.884299994,0.233700007,101.4250031,5.830999851,43.31999969,1115.890015,8,37.72999954,39.34999847,8.345252037,3.010999918,0.400000006,1.258000016,16.81170082,0.111900002,0.059160002,6,1.25,3,1.5
103.727,28.376,1.21702,133.1905823,2.810127258,118.5421219,5.787897587,73.11825562,1.21305275,1.827463269,14.36132145,21.82125282,0.80829221,2.623083353,2008,1.78020072,4.233092785,0.284413427,0.248522848,0.248522848,0.248522848,0.688427746,0.248522848,0.915300012,0.248522848,88.96666718,5.41260767,48.460495,1009.741028,8,38.00487518,40.17203522,10.29118347,4.088585377,0.50418061,1.670681953,13.29364681,0.172059387,0.051171951,4.787454605,1.624429941,2.43959856,1.734329581
103.588,28.812,1.56943,104,1.871000051,53,4.212999821,170.9644623,1.225999951,4.520999908,15.81999969,24.47999954,0.878000021,3,1113,1.5,25,0.171499997,0.239099994,0.239099994,0.239099994,1.098999977,0.239099994,0.872300029,0.239099994,91.78333282,7.046999931,43.31999969,1329.955811,3,31.73999977,43.77000046,4.828987122,1.121000051,0.300000012,1.733999968,16.58485413,0.087360002,0.071259998,3,1.5,3,1.5
103.958,28.884,1.47686,161.3300018,1.922000051,104.6100006,4.443999767,325.1499634,1.292000055,2.822000027,17.45000076,22.92000008,0.800000012,3,818,1.5,4.650000095,0.171499997,0.233700007,0.233700007,0.233700007,0.916800022,0.233700007,0.905499995,0.233700007,85.7583313,5.830999851,43.31999969,1358.459595,8,37.72999954,39.34999847,2.546263933,3.010999918,0.400000006,1.258000016,16.81619263,0.111900002,0.059160002,6,1.25,3.5,1.5
103.471,30.168,1.39627,62,0.1206,115.0800018,9.890000343,131.7593231,1.299999952,3.358999968,10.92000008,23.05999947,0.699999988,2,543,1.75,7.600999832,0.1162,0.139200002,0.139200002,0.139200002,0.817700028,0.139200002,0.779600024,0.139200002,88.1166687,5.903999805,50.00999832,1627.14856,17,32.52000046,44.41999817,1.720838308,2.987999916,0.600000024,1.970999956,17.79651833,0.1215,0.063429996,2,1.879999995,1,2
103.419,30.415,1.58197,118.7073364,2.822787285,108.0859833,4.769208908,74.88446808,1.16902256,1.606690168,14.21697235,42.5672226,0.73453474,2,530,2.000386477,5.420301914,0.314108431,0.300028265,0.300028265,0.300028265,0.443043172,0.300028265,0.70569998,0.300028265,90.125,5.644546032,50.75504303,1472.846436,5.03865242,14.75274277,42.68003464,0.774158716,3.729677677,0.589196444,1.293541074,17.74905586,0.151744157,0.061550282,2.996778965,1.999613523,3.99355793,2
103.186,30.299,1.392,92,1.871000051,58,4.191999912,268.5402527,1.399999976,3.09800005,15.35000038,24,0.800000012,4,660,1.5,18.79999924,0.171499997,0.233700007,0.233700007,0.233700007,0.824199975,0.233700007,0.906899989,0.233700007,90,7.888999939,43.31999969,1597.533813,8,31.68000031,44.31999969,2.545640945,0.965900004,0.649999976,1.631999969,17.25963402,0.065789998,0.03726,3.5,1.620000005,3,1.5
103.222,30.536,1.22426,94.41999817,1.871000051,58,3.803999901,89.55905151,1.399999976,3.09800005,15.35000038,24,0.800000012,4,1115,1.5,18.79999924,0.171499997,0.233700007,0.233700007,0.233700007,0.824199975,0.233700007,0.889999986,0.233700007,107.6750031,7.888999939,43.31999969,1249.475586,8,31.68000031,44.31999969,11.10170174,0.965900004,0.649999976,1.631999969,15.93710423,0.065789998,0.03726,3.5,1.620000005,3,1.5
103.861,31.122,1.56549,113.9875565,2.732751846,87.56951904,4.826913834,271.8535156,1.170582891,2.318362474,12.51665592,20.71126556,0.892281055,2.461405039,899,1.769297481,14.21679211,0.330816358,0.277286381,0.277286381,0.277286381,0.654928565,0.277286381,0.925400019,0.277286381,88.9916687,5.864412308,47.84958267,1014.325562,4.077189922,40.26314545,39.02558517,8.410033226,2.965657711,0.353859484,1.899275899,16.3161602,0.157108784,0.054353505,3.269297361,1.769297481,2.461405039,1.833928704
103.999,31.358,1.03742,93.71009064,3.524959087,103.8803101,3.507908821,3.062549591,1.128062844,1.315479875,12.61071968,18.81558228,0.686361372,2,1252,2,18.57376671,0.298880905,0.294335127,0.294335127,0.294335127,0.595733106,0.294335127,0.915700018,0.294335127,92.21666718,5.707103252,51.72999954,979.6414795,7.854425907,40.89725113,40.28717041,8.415877342,3.911524057,0.400000006,2.008675814,15.31645966,0.194887504,0.03680123,3.5,2.213606358,2.854425669,2.231075287
103.476,30.917,1.42291,146.085022,2.891242981,95.25521088,2.056113482,71.35478973,1.146412969,1.887242436,12.12719536,22.39062691,0.617408872,2.36234808,1368,1.81882596,12.23357105,0.354888707,0.22105445,0.22105445,0.22105445,0.571916878,0.22105445,0.934499979,0.22105445,102.4000015,6.562248707,48.68265152,1061.639648,4.275303841,31.10896683,46.49040604,11.71904182,3.122973919,0.327530384,1.769121408,15.44358253,0.166714385,0.05039601,3.63765192,1.81882596,2.716882467,1.97823894
103.907,31.691,1.50719,91.88230133,0.041285742,290.1904602,2.318849802,346.9438477,1.302731156,11.23817348,19.00402641,17.34952736,0.793648303,4,2066,1.984120727,14.1396265,0.039772931,0.208104417,0.208104417,0.208104417,2.944959641,0.208104417,0.954200029,0.208104417,89.44166565,6.672038078,49.96462631,823.0923462,6.872965813,37.21003342,45.44980621,17.13076401,3.764607191,0.338924974,2.153073549,10.68297768,0.189486444,0.064570948,3,1.765879273,2.09527564,1.75
104.311,31.986,1.56508,81,3.220999956,106.1600037,4.499000072,284.9221802,1.139999986,1.350999951,13.46000004,18.26000023,0.755999982,2,1269,2,20.88999939,0.282299995,0.284799993,0.284799993,0.284799993,0.648299992,0.284799993,0.922399998,0.284799993,97.5083313,6.038000107,51.72999954,898.0153198,8,41.45000076,40.29999924,7.90156889,2.937000036,0.400000006,1.898000002,15.03566742,0.163200006,0.04566,3.5,2.25,3,2.25
104.542,32.424,1.402,79.24633026,2.204428911,104.3461838,3.921076775,197.6960754,1.230690837,2.261147976,14.06152153,18.86779213,0.737546563,2,1154,2,21.04269409,0.298726052,0.264579624,0.264579624,0.264579624,1.171947479,0.264579624,0.852800012,0.264579624,93.04166412,6.195249557,52.8081131,829.8632813,8,41.96607208,39.16613388,15.20815849,2.358614206,0.400000006,1.857744336,14.88781738,0.143249497,0.044911072,3.268645763,2.134322882,2.537291288,2.134322882
103.339,29.534,1.31173,185.0118408,1.142988086,229.4676514,7.061420918,73.72319031,1.257569194,3.953950644,23.28960228,17.34064102,0.736666024,3,2739,1.913687706,5.530676842,0.222250804,0.519504964,0.519504964,0.519504964,1.24838829,0.519504964,0.895399988,0.519504964,65.19999695,5.698654175,56.25578308,1067.292358,8,40.2310524,42.43175888,26.18082237,7.024261475,0.603627622,1.757600904,7.632164478,0.335684568,0.122655205,2.982126474,1.75,2.690497875,1.75
103.188,29.762,1.37956,195.4700012,1.922000051,104.6100006,5.691999912,95.53874969,1.149999976,2.822000027,17.45000076,22.92000008,0.800000012,3,1232,1.5,4.650000095,0.171499997,0.233700007,0.233700007,0.233700007,0.916800022,0.233700007,0.949299991,0.233700007,93.7416687,5.830999851,43.31999969,1508.856812,8,37.72999954,39.34999847,12.21231461,3.010999918,0.400000006,1.258000016,16.02879333,0.111900002,0.059160002,6,1.25,3,1.5
103.211,30.684,1.31662,135.2032318,0.886583269,150.0023956,5.636077881,129.0121307,1.317358971,5.74364233,20.09453583,19.60947227,0.666725099,3.3800354,2178,2,6.542891026,0.15663977,0.36800763,0.36800763,0.36800763,2.045655966,0.36800763,0.932799995,0.36800763,93.70833588,5.954919815,52.48285294,967.8138428,8,35.06420135,45.32632446,12.78404808,7.743019104,0.564061105,1.851198077,11.46586514,0.327408046,0.089278996,3.3099823,1.75,2.316569567,1.799404621
104.146,31.407,1.52912,48.99871445,0.717199981,149.046524,6.804652691,124.9193802,1.210046768,4.034222126,12.26117802,19.41347122,0.93488431,1.825578332,726,2.162789106,7.06099987,0.142299995,0.223013029,0.223013029,0.223013029,1.045274615,0.223013029,0.721099973,0.223013029,91.1333313,6.321446419,58.09022522,995.3312378,17,34.57671356,46.00981522,3.271399498,3.253378868,0.572095156,1.635972261,16.92855072,0.157472372,0.062826782,2.651156664,2.078138828,2.5,2.25
